t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
3,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825,0,2.18628534080032e-15,0,0,0,1.45752356053355e-15,0,0,31.8825,31.8825
3.1,0,2.3344669027879e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825,0,2.33451548690658e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825,0,2.33451548690658e-15,0,0,0,1.506107679218e-15,0,0,31.8825,31.8825
3.2,0,2.48750687664392e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825,0,2.4875554607626e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825,0,2.4875554607626e-15,0,0,0,1.55469179790245e-15,0,0,31.8825,31.8825
3.3,0,2.6356884386315e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.64540526236839e-15,0,0,0,1.60327591658691e-15,0,0,31.8825,31.8825,0,2.64540526236839e-15,0,0,0,1.60327591658691e-15,0,0,31.8825,31.8825
3.4,0,2.76929476501374e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825,0,2.80821064407999e-15,0,0,0,1.65186003527136e-15,0,0,31.8825,31.8825,0,2.80821064407999e-15,0,0,0,1.65186003527136e-15,0,0,31.8825,31.8825
3.5,0,2.88832585579065e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825,0,2.97582585354134e-15,0,0,0,1.70044415395581e-15,0,0,31.8825,31.8825,0,2.97582585354134e-15,0,0,0,1.70044415395581e-15,0,0,31.8825,31.8825
3.6,0,2.99278171096222e-15,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825,0,3.14825089075246e-15,0,0,0,1.74902827264026e-15,0,0,31.8825,31.8825,0,3.14825089075246e-15,0,0,0,1.74902827264026e-15,0,0,31.8825,31.8825
3.7,0,3.08266233052845e-15,0,0,0,8.25930017635676e-16,0,0,31.8825,31.8825,0,3.32563150806939e-15,0,0,0,1.79761239132471e-15,0,0,31.8825,31.8825,0,3.32563150806939e-15,0,0,0,1.79761239132471e-15,0,0,31.8825,31.8825
3.8,0,3.15796771448935e-15,0,0,0,6.80177661582323e-16,0,0,31.8825,31.8825,0,3.50782195313609e-15,0,0,0,1.84619651000916e-15,0,0,31.8825,31.8825,0,3.50782195313609e-15,0,0,0,1.84619651000916e-15,0,0,31.8825,31.8825
3.9,0,3.21869786284492e-15,0,0,0,5.34425305528969e-16,0,0,31.8825,31.8825,0,3.69482222595254e-15,0,0,0,1.89478062869361e-15,0,0,31.8825,31.8825,0,3.69482222595254e-15,0,0,0,1.89478062869361e-15,0,0,31.8825,31.8825
