t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
25.3,0.986791780821088,2.18241752820835e-06,0.000685852448253432,-0.0043981521215548,0.00437420359871381,4.74366147980999e-06,-0.000658849206853254,-0.00424782003663913,31.8855926282573,31.879557785694,0.998491376659053,-0.00368883820384139,1.1528932526781e-05,-0.000104021550057726,0.000780668869081083,0.000243427843162849,6.88629834203679e-06,-8.35075689043157e-05,31.8826989685232,31.8826680997237,1.00602690348277,0.018101404056385,8.42115541502965e-06,-8.3849664254364e-05,0.000697146129045185,0.000629847636281642,1.08192268741402e-05,5.19229398713443e-05,31.8831509358096,31.8831338219716
25.4,0.987084926496722,2.08405110268396e-06,0.000578111019247103,-0.00445873151824858,0.00151120385918347,-6.48395480682911e-06,-0.00146444692633806,0.00302056706355195,31.8848980263592,31.8801426180162,0.998566312711723,-0.00366477983349527,1.20335879167301e-05,-0.000104066310167915,0.000717961054244562,0.000237722775014112,3.6450095479309e-06,8.26407542542295e-05,31.8826934504114,31.8826801277842,1.0060942350391,0.0181634003552739,9.41337210914837e-06,-7.23095941375527e-05,0.000650120250750861,0.00061007988821556,9.36339437065844e-06,0.000176284358531969,31.8831439285458,31.8831403669129
25.5,0.987105485627439,1.04001018400589e-06,0.000401117512137821,-0.00381586338997535,-0.00101001001272272,-1.3189107273022e-05,-0.00202677934364603,0.00963856261515772,31.8838501639491,31.8810688589385,0.998635132559556,-0.00364129079561571,1.23434142897452e-05,-8.80260181351211e-05,0.00065835372218219,0.000231928829461517,2.95141510209249e-06,0.000237492427719773,31.88268778995,31.8826911733312,1.00615717778887,0.018223440644191,1.0355247070379e-05,-4.94734849195011e-05,0.000609368358014874,0.000590338172983029,9.76488029056331e-06,0.000277251719884844,31.8831369204735,31.8831447704481
25.6,0.986906526633406,-2.72020724938749e-07,0.000183580647462064,-0.00258636100456849,-0.00282713060514091,-1.16237263587329e-05,-0.0022660965991642,0.0146057585127245,31.8826454043834,31.8822125071437,0.998698337077515,-0.0036183965554022,1.27050499939268e-05,-5.77518871872627e-05,0.000608871915270817,0.000226063092474321,4.58452628325761e-06,0.000358407823399783,31.8826831332058,31.8827001233084,1.00621648712717,0.0182814700905492,1.14176544001592e-05,-1.82002540477339e-05,0.000579454068967002,0.000570656844490375,1.16364040358285e-05,0.000339777922350249,31.883130699302,31.8831463049707
25.7,0.986571876103742,-1.04785930993595e-06,-4.03333149244845e-05,-0.000974220307004431,-0.00369490521751051,-3.09692421789159e-06,-0.00215421317648319,0.0172006858037831,31.8814850505267,31.8834051382405,0.998757349308891,-0.00359608581521348,1.33177732058696e-05,-1.78709882207789e-05,0.000574169110177298,0.000220143770144385,7.89267106990124e-06,0.000429794932211266,31.8826803358799,31.8827062179223,1.00627346891184,0.0183375552457416,1.27118341342975e-05,1.70241638157735e-05,0.000562463169366776,0.000551063443652971,1.43299619855377e-05,0.000356602674766026,31.883125741386,31.8831446709927
25.8,0.9862024902305,-8.36875954279635e-07,-0.000236380069814786,0.000762927682937282,-0.00351985091009451,7.04088482703507e-06,-0.00171754344367395,0.0170845914452223,31.8805377958823,31.8844542273692,0.998813763197168,-0.00357436319537831,1.43095045058457e-05,2.62433668479468e-05,0.000556733082084971,0.000214183471611695,1.21066970684577e-05,0.000442562042490307,31.8826799231146,31.8827089905688,1.00632942344259,0.0183917060406493,1.42857489325647e-05,5.15715608556421e-05,0.000558687616454549,0.000531584101508266,1.71722697788586e-05,0.000325958814934424,31.8831222189793,31.8831397966423
25.9,0.985900541668718,2.08474192083873e-07,-0.000375494429782615,0.0023547520249391,-0.00237073661240441,1.27271889846034e-05,-0.0010316822027205,0.0143437397963137,31.8799204658401,31.8851792094034,0.998869312147657,-0.00355325019221289,1.57399606114405e-05,6.85020412243296e-05,0.000556959543566357,0.000208192297751993,1.63440142424238e-05,0.000393988217642406,31.8826820993907,31.8827082647529,1.00638561759594,0.0184438770587831,1.61271932793409e-05,8.06861877261978e-05,0.000566695479411879,0.000512248584913892,1.9466391637472e-05,0.000251450464719931,31.8831200119885,31.8831318402352
26,0.985753726997765,1.44829996273121e-06,-0.000438120239083899,0.00356006638153775,-0.000463856588494639,1.07712764174589e-05,-0.000208553693548035,0.0094653494212918,31.8796955831697,31.8854532266688,0.998925635627871,-0.00353273136379601,1.75550134654076e-05,0.000103260722198116,0.000571610459548961,0.00020218195966476,1.97514882335736e-05,0.000293385750948732,31.882686497593,31.8827044825958,1.00644303331853,0.0184941418844785,1.81445143936695e-05,0.000100730033732208,0.000582589601416053,0.000493077998857568,2.06528905699733e-05,0.000145190087915893,31.8831186260281,31.8831214350699
26.1,0.985822200988696,2.15088808603364e-06,-0.00041696983572093,0.00420313292417131,0.0018739832369035,2.58796076246569e-06,0.000621708526212656,0.00325257317226314,31.879877036335,31.8852352074642,0.998983932258672,-0.00351280803085071,1.96379181180258e-05,0.000126064267505557,0.00059595906915507,0.000196164149262618,2.16434162803897e-05,0.000155077414801371,31.8826924775113,31.8826983248213,1.00650222413333,0.0185425179258236,2.0208466194761e-05,0.000109282139644814,0.000601729951338865,0.000474097112432656,2.03489157949729e-05,2.18994723812862e-05,31.8831174014593,31.8831093179619
26.2,0.986130074923845,1.92383052312383e-06,-0.000317828282603064,0.00419899443070778,0.00425845733469336,-6.83988584636697e-06,0.00133121687477466,-0.00330682702052148,31.8804347179816,31.8845794431333,0.999044951277499,-0.00349349831502366,2.18126540513092e-05,0.000133630762993598,0.00062385844859202,0.000190152671730365,2.14985906826188e-05,-1.74932611630782e-06,31.8826991366934,31.8826907066719,1.00656330661219,0.0185889689961227,2.21549678277014e-05,0.000105117610318347,0.000618784910938248,0.000455337689903879,1.83443607588246e-05,-0.000101180997229245,31.8831155235087,31.8830963340666
